Date;Time of day;Total[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other[MWh]
Jan 1, 2015;12:00 AM;55,567;65;1,850;0;47,777
Jan 1, 2015;12:15 AM;-;65;1,872;0;-
Jan 1, 2015;12:30 AM;-;65;1,895;0;-
Jan 1, 2015;12:45 AM;-;65;1,916;0;-
Jan 1, 2015;1:00 AM;54,454;65;1,991;0;46,174
Jan 1, 2015;1:15 AM;-;65;2,001;0;-
Jan 1, 2015;1:30 AM;-;65;2,012;0;-
Jan 1, 2015;1:45 AM;-;65;2,019;0;-
Jan 1, 2015;2:00 AM;53,180;65;2,028;0;44,767
Jan 1, 2015;2:15 AM;-;65;2,038;0;-
Jan 1, 2015;2:30 AM;-;65;2,041;0;-
Jan 1, 2015;2:45 AM;-;65;2,048;0;-
Jan 1, 2015;3:00 AM;51,469;65;2,048;0;42,967
Jan 1, 2015;3:15 AM;-;65;2,060;0;-
Jan 1, 2015;3:30 AM;-;65;2,065;0;-
Jan 1, 2015;3:45 AM;-;65;2,072;0;-
Jan 1, 2015;4:00 AM;51,539;65;2,080;0;42,871
Jan 1, 2015;4:15 AM;-;65;2,094;0;-
Jan 1, 2015;4:30 AM;-;65;2,110;0;-
Jan 1, 2015;4:45 AM;-;65;2,124;0;-
Jan 1, 2015;5:00 AM;50,745;65;2,135;0;41,896
Jan 1, 2015;5:15 AM;-;66;2,144;0;-
Jan 1, 2015;5:30 AM;-;66;2,152;0;-
Jan 1, 2015;5:45 AM;-;66;2,156;0;-
Jan 1, 2015;6:00 AM;49,611;66;2,170;0;40,589
Jan 1, 2015;6:15 AM;-;66;2,182;0;-
Jan 1, 2015;6:30 AM;-;66;2,196;0;-
Jan 1, 2015;6:45 AM;-;66;2,212;0;-
Jan 1, 2015;7:00 AM;49,977;66;2,227;0;40,663
Jan 1, 2015;7:15 AM;-;66;2,247;0;-
Jan 1, 2015;7:30 AM;-;66;2,272;0;-
Jan 1, 2015;7:45 AM;-;66;2,305;0;-
Jan 1, 2015;8:00 AM;52,660;66;2,330;1;42,879
Jan 1, 2015;8:15 AM;-;66;2,355;3;-
