Date;Time of day;Germany/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh];Austria[Euro/MWh];Germany/Austria/Luxembourg[Euro/MWh]
Jan 1, 2017;12:00 AM;-;20.96;20.96;58.82;53;42;24.03;24.03;57.04;53;18.5;57.25;-;20.96
Jan 1, 2017;1:00 AM;-;20.9;20.9;58.23;52;49.94;24.03;24.03;51.94;52;13;50.21;-;20.9
Jan 1, 2017;2:00 AM;-;18.13;18.13;51.95;51;51.95;24.02;24.02;49.07;51;16;44.04;-;18.13
Jan 1, 2017;3:00 AM;-;16.03;16.03;47.27;47.27;40.99;23.04;23.19;45.01;47.27;16.4;32.81;-;16.03
Jan 1, 2017;4:00 AM;-;16.43;16.43;45.49;45.49;39;18.87;24.1;42.4;45.49;16;28.41;-;16.43
Jan 1, 2017;5:00 AM;-;13.75;13.75;44.5;45.69;35.89;18.22;25.01;42.43;17.67;16.67;24.02;-;13.75
Jan 1, 2017;6:00 AM;-;11.1;11.1;44.5;48.07;34.99;16.15;25.62;43.04;11.1;15;15.6;-;11.1
Jan 1, 2017;7:00 AM;-;15.47;15.47;44.72;45.67;29.02;16.16;25.87;41.08;15.47;14.4;14.52;-;15.47
Jan 1, 2017;8:00 AM;-;16.88;16.88;44.22;45.48;28.64;16.17;26.18;44.07;16.88;16.08;16.7;-;16.88
Jan 1, 2017;9:00 AM;-;21.81;21.81;42.06;42.06;34.94;18;25.74;43.52;35.1;16.47;21.19;-;21.81
Jan 1, 2017;10:00 AM;-;26.24;26.24;45.7;46.86;39.94;20.73;26.89;44.96;35.1;14.3;32.81;-;26.24
Jan 1, 2017;11:00 AM;-;27.48;27.48;47.91;48.02;42.44;25.76;27.48;44.22;48.02;18.5;47.23;-;26.42
Jan 1, 2017;12:00 PM;-;28.04;28.04;49.57;49.57;49.57;25.8;28.04;46.09;49.57;20.93;47.95;-;27.66
Jan 1, 2017;1:00 PM;-;28.7;28.7;48.69;48.69;48.69;25.84;28.7;44.09;48.69;20.5;45.32;-;28.7
Jan 1, 2017;2:00 PM;-;29.66;29.66;46.91;46.91;37.44;25.85;29.66;41.33;46.91;21.3;41.34;-;29.66
Jan 1, 2017;3:00 PM;-;30.38;30.38;46.51;49.43;37.3;24.07;30.38;41.64;49.43;26.57;44.17;-;35.33
Jan 1, 2017;4:00 PM;-;30.8;30.8;46.52;50.45;44.12;29.92;30.8;47.65;50.45;35.42;52.98;-;44.12
Jan 1, 2017;5:00 PM;-;30.93;30.93;51.59;53.3;51.59;30.26;30.93;53.94;53.3;41.3;59.68;-;51.59
Jan 1, 2017;6:00 PM;-;30.78;30.78;59.07;59.07;59.07;30.75;30.78;58.52;59.07;42.83;59.68;-;53.95
Jan 1, 2017;7:00 PM;-;30.51;30.51;62.1;61.71;55;30.33;30.51;59.01;61.71;41.75;57.97;-;50.97
Jan 1, 2017;8:00 PM;-;30.19;30.19;56.26;56.26;52;26.7;30.19;55.6;56.26;40;57.96;-;44.93
Jan 1, 2017;9:00 PM;-;29.94;29.94;55;55;52;29.94;29.94;53.6;55;34.6;51.97;-;38.83
Jan 1, 2017;10:00 PM;-;29.65;29.65;56.02;54;52.44;29.65;29.65;54.01;54;31.11;43.51;-;42.17
Jan 1, 2017;11:00 PM;-;29.36;29.36;52;52;49.27;25.76;29.36;53.07;52;20;42.78;-;33.06
Jan 2, 2017;12:00 AM;-;29.4;29.4;54.99;53;30.54;25.72;29.4;51.85;51.8;24;24.84;-;30.54
Jan 2, 2017;1:00 AM;-;28.91;28.91;50.18;50.18;30;19.79;28.91;50.04;32.7;23.45;23.45;-;28.91
Jan 2, 2017;2:00 AM;-;28.11;28.11;49.11;49.11;33.21;19.1;28.11;48.34;28.11;20.89;20.89;-;28.11
Jan 2, 2017;3:00 AM;-;27.89;27.89;45.78;48.15;32.05;18.89;27.89;46.89;27.89;19.95;19.95;-;27.89
Jan 2, 2017;4:00 AM;-;27.73;28.26;44.99;48.41;31.28;20.51;28.26;45.51;27.73;22.81;22.81;-;27.73
Jan 2, 2017;5:00 AM;-;30.43;30.43;46.97;48.15;31.43;25.71;30.43;46.79;32.6;26.15;26.15;-;31.18
Jan 2, 2017;6:00 AM;-;32.85;32.85;52;52;37.99;27.3;32.85;51.29;47.01;39;44.72;-;37.99
Jan 2, 2017;7:00 AM;-;33.91;33.91;59.07;59.07;45.2;31.93;33.91;60.97;57.67;50.34;50.34;-;50.98
Jan 2, 2017;8:00 AM;-;34.87;34.87;64.98;64.15;46.31;34.87;34.87;61.25;64.15;57;57;-;53.88
Jan 2, 2017;9:00 AM;-;35.22;35.22;65.02;62.5;48.84;37.05;35.22;61.04;62.5;57;60.98;-;53.94
Jan 2, 2017;10:00 AM;-;35.41;35.41;68.49;61.7;53.32;37.13;35.41;61.22;61.7;58.68;58.68;-;53.54
Jan 2, 2017;11:00 AM;-;35.07;35.07;65.99;61.2;54.53;37.73;35.07;61.02;61.2;59.05;59.73;-;54.91
Jan 2, 2017;12:00 PM;-;34.85;34.85;65.75;55.69;53.82;38;34.85;61.25;55.69;58.67;58.67;-;54.08
Jan 2, 2017;1:00 PM;-;34.7;34.7;64.98;55.67;55.67;37.96;34.7;61.22;55.67;60.01;60.01;-;55.67
Jan 2, 2017;2:00 PM;-;34.8;34.8;61.19;61.19;55.98;37.55;34.8;60.92;61.19;61.27;61.27;-;55.98
Jan 2, 2017;3:00 PM;-;35.93;35.93;59.71;59.71;56;37.67;35.93;59.97;59.71;63.49;63.49;-;56
Jan 2, 2017;4:00 PM;-;37.52;37.52;60.96;60.96;57.77;39.17;37.52;60.91;60.96;67.04;67.04;-;57.77
Jan 2, 2017;5:00 PM;-;38.48;42.2;73.55;73.55;67.66;40.01;40.01;66.36;73.55;74.09;74.09;-;67.66
Jan 2, 2017;6:00 PM;-;36.88;39.17;77.42;77.42;55.1;39.17;39.17;64.53;63.1;67;67;-;55.1
Jan 2, 2017;7:00 PM;-;35.52;35.52;75;75;47.94;38.5;35.52;61.66;63.1;63;63;-;53.92
Jan 2, 2017;8:00 PM;-;35.23;35.23;70.11;70.11;40.99;38.25;35.23;61.25;70.11;57;60.91;-;49.07
Jan 2, 2017;9:00 PM;-;34.74;34.74;61.21;59.69;40.25;37.39;34.74;61.24;59.69;53;60.06;-;40.25
Jan 2, 2017;10:00 PM;-;32.99;32.99;60.1;54;40.99;32.99;32.99;61.22;54;46.9;49.93;-;45.92
Jan 2, 2017;11:00 PM;-;30.89;30.94;58.78;52;36.84;30.94;30.94;60.11;49;36;37.96;-;38.88
Jan 3, 2017;12:00 AM;-;30.65;30.65;54.68;50.56;36.02;30.65;30.65;60.61;36.02;33.36;33.36;-;36.02
Jan 3, 2017;1:00 AM;-;30.37;30.37;52.74;47.09;34.98;30.37;30.37;56.06;34.98;34.25;34.25;-;34.98
Jan 3, 2017;2:00 AM;-;30.15;30.15;49.25;44.43;33.64;28.93;30.15;53.21;33.64;32.39;32.39;-;33.64
Jan 3, 2017;3:00 AM;-;30.14;30.14;45;45;33.62;28.94;30.14;52.96;33.89;31.6;31.6;-;33.89
Jan 3, 2017;4:00 AM;-;30.4;30.4;45.18;45.18;33.5;29.43;30.4;52.02;33.5;31.8;32.81;-;33.5
Jan 3, 2017;5:00 AM;-;30.75;32.24;49.25;46.74;33.91;32.24;32.24;53.33;46.74;33.2;44.04;-;33.91
Jan 3, 2017;6:00 AM;-;31.02;33.5;57.65;55;40.9;32.97;33.5;62.94;55;41.73;59.68;-;48.13
Jan 3, 2017;7:00 AM;-;31.58;35.8;70.51;59.73;43.72;35.8;35.8;69.05;59.73;52.26;67.59;-;54.61
Jan 3, 2017;8:00 AM;-;31.77;36.78;74.04;61.81;54.12;36.78;36.78;72.97;61.81;50.84;70.47;-;57.93
Jan 3, 2017;9:00 AM;-;32.96;36.17;75.32;61.81;54.94;38.77;36.17;74.37;61.81;50.15;70.47;-;57.18
Jan 3, 2017;10:00 AM;-;31.25;35.4;74.65;61.94;52.27;41.06;35.4;75.19;61.94;47.05;70.47;-;52.27
Jan 3, 2017;11:00 AM;-;30.82;34.92;73.31;63.8;49.94;41.32;34.92;74.22;63.8;45.96;70.25;-;49.94
Jan 3, 2017;12:00 PM;-;30.5;34.81;72.71;57.49;46.3;38.46;34.81;70.17;57.49;45.06;69.78;-;46.3
Jan 3, 2017;1:00 PM;-;30.21;34.09;71.69;56.74;41.51;37.65;34.09;70.16;56.74;51;70.25;-;41.51
Jan 3, 2017;2:00 PM;-;30.02;34.25;70.51;60;40.9;34.65;34.25;70.2;60;55;70.47;-;37.08
Jan 3, 2017;3:00 PM;-;29.71;34.51;69.94;64.01;40.9;34.51;34.51;72.27;64.01;46;71.37;-;37.03
Jan 3, 2017;4:00 PM;-;29.79;34.94;71.11;68.94;40.9;35.07;34.94;75.08;68.94;48;76.19;-;39.08
Jan 3, 2017;5:00 PM;-;29.9;34.59;81.32;67.01;45;34.94;34.59;84.44;67.01;46.63;82.03;-;42.14
Jan 3, 2017;6:00 PM;-;29.78;34.06;137.21;61.99;36.67;34.06;34.06;85.92;61.99;46.43;83.65;-;36.67
Jan 3, 2017;7:00 PM;-;29.56;32.93;90.17;58.5;40;32.93;32.93;82.66;58.5;46;79.34;-;36.03
Jan 3, 2017;8:00 PM;-;29.4;31.8;74.94;60;40.9;31.8;31.8;77.07;60;33.45;74.3;-;33.55
Jan 3, 2017;9:00 PM;-;24.56;26.31;71.59;59.48;40.9;30.51;30.51;70.71;59.48;27.88;70.25;-;24.56
Jan 3, 2017;10:00 PM;-;17.77;17.77;68.73;63;37.3;25.68;29.27;69.31;63;24;66.06;-;17.77
Jan 3, 2017;11:00 PM;-;0.12;9.49;67.42;56.74;32.22;16.7;28.46;66.08;56.74;15.5;60.3;-;9.49
