Date;Time of day;Germany/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh];Austria[Euro/MWh];Germany/Austria/Luxembourg[Euro/MWh]
Jan 1, 2015;12:00 AM;-;25.02;27.38;-;-;-;-;27.38;44.94;27.3;26.48;45.07;-;-
Jan 1, 2015;1:00 AM;-;18.29;18.29;-;-;-;-;23.37;43.43;23.25;24.2;44.16;-;-
Jan 1, 2015;2:00 AM;-;16.04;16.04;-;-;-;-;19.33;38.08;22.2;22.06;39.17;-;-
Jan 1, 2015;3:00 AM;-;14.6;14.6;-;-;-;-;17.66;35.47;19.56;20.27;26.93;-;-
Jan 1, 2015;4:00 AM;-;14.95;14.95;-;-;-;-;17.53;30.83;18.88;19.17;20.94;-;-
Jan 1, 2015;5:00 AM;-;14.5;14.5;-;-;-;-;18.07;28.26;18.39;17.9;18.52;-;-
Jan 1, 2015;6:00 AM;-;10.76;10.76;-;-;-;-;25.23;25.36;18.98;17.29;17.29;-;-
Jan 1, 2015;7:00 AM;-;12.01;12.01;-;-;-;-;26.8;26.93;23.56;17.39;17.39;-;-
Jan 1, 2015;8:00 AM;-;12.39;12.39;-;-;-;-;26.97;24.95;24.33;15.84;16.95;-;-
Jan 1, 2015;9:00 AM;-;14.04;14.04;-;-;-;-;26.29;26.71;26;18.55;20.61;-;-
Jan 1, 2015;10:00 AM;-;14.68;14.68;-;-;-;-;26.06;30.04;30;21.97;23.21;-;-
Jan 1, 2015;11:00 AM;-;16.08;16.08;-;-;-;-;25.56;31.77;33.86;23.94;25.84;-;-
Jan 1, 2015;12:00 PM;-;16.08;16.08;-;-;-;-;25.91;35.09;34;24.87;26.25;-;-
Jan 1, 2015;1:00 PM;-;16.05;25.42;-;-;-;-;25.42;35.39;32.75;24;24.83;-;-
Jan 1, 2015;2:00 PM;-;16.04;26.78;-;-;-;-;26.78;31.47;30;23.4;24.03;-;-
Jan 1, 2015;3:00 PM;-;16.1;27.51;-;-;-;-;27.51;29.08;32.49;23.3;23.9;-;-
Jan 1, 2015;4:00 PM;-;23.93;28.32;-;-;-;-;28.32;31.03;34.1;25.9;44.16;-;-
Jan 1, 2015;5:00 PM;-;26.9;28.36;-;-;-;-;28.36;39.09;42.88;30.5;48.62;-;-
Jan 1, 2015;6:00 PM;-;26.36;28.18;-;-;-;-;28.18;47.82;45.66;29.17;50.02;-;-
Jan 1, 2015;7:00 PM;-;23.98;27.81;-;-;-;-;27.81;50.75;43;27.09;52.04;-;-
Jan 1, 2015;8:00 PM;-;16.09;16.09;-;-;-;-;27.46;49.3;41.98;22.2;51.08;-;-
Jan 1, 2015;9:00 PM;-;14.08;14.08;-;-;-;-;27.06;48.24;39;18;45.04;-;-
Jan 1, 2015;10:00 PM;-;12.44;12.44;-;-;-;-;26.4;49.04;35.35;16.7;45.07;-;-
Jan 1, 2015;11:00 PM;-;0.04;0.04;-;-;-;-;18.36;46.14;29.9;10.7;43.04;-;-
Jan 2, 2015;12:00 AM;-;-12.11;-12.11;-;-;-;-;17.78;42.29;40;0.01;40.07;-;-
Jan 2, 2015;1:00 AM;-;-19.63;-19.63;-;-;-;-;9.62;38.1;38.18;-0.3;31.01;-;-
Jan 2, 2015;2:00 AM;-;-19.37;-19.37;-;-;-;-;7.67;38.03;33.26;-3.5;13.61;-;-
Jan 2, 2015;3:00 AM;-;-31.41;-31.41;-;-;-;-;10.83;32.06;26.3;-4.2;6.69;-;-
Jan 2, 2015;4:00 AM;-;-31.41;-31.41;-;-;-;-;23.14;27.66;25;-3.26;2.9;-;-
Jan 2, 2015;5:00 AM;-;-13.48;-13.48;-;-;-;-;26.1;28;38.85;-0.2;21.86;-;-
Jan 2, 2015;6:00 AM;-;0.08;0.08;-;-;-;-;27.25;33.44;32;1.8;13.61;-;-
Jan 2, 2015;7:00 AM;-;10.06;28.37;-;-;-;-;28.37;37.1;56.15;8.7;40.16;-;-
Jan 2, 2015;8:00 AM;-;14.25;28.37;-;-;-;-;28.37;39.34;59.61;13.15;46.18;-;-
Jan 2, 2015;9:00 AM;-;14.56;28.32;-;-;-;-;28.32;41.82;42.85;17.2;48.86;-;-
Jan 2, 2015;10:00 AM;-;14.64;28.3;-;-;-;-;28.3;42.19;39.39;19;52.43;-;-
Jan 2, 2015;11:00 AM;-;15.08;28.39;-;-;-;-;28.39;43;45;19.15;60.03;-;-
Jan 2, 2015;12:00 PM;-;15.41;28.3;-;-;-;-;28.3;44.02;45;20;58.49;-;-
Jan 2, 2015;1:00 PM;-;14.52;28.24;-;-;-;-;28.24;42.48;41.95;20;46.85;-;-
Jan 2, 2015;2:00 PM;-;14.7;28.12;-;-;-;-;28.12;39.12;39.2;20.5;45.08;-;-
Jan 2, 2015;3:00 PM;-;14.66;28.23;-;-;-;-;28.23;38.05;40;20.5;45.96;-;-
Jan 2, 2015;4:00 PM;-;16.09;28.59;-;-;-;-;28.59;39.49;48.23;23;60.07;-;-
Jan 2, 2015;5:00 PM;-;25.1;28.73;-;-;-;-;28.73;47.91;62.93;26;83.01;-;-
Jan 2, 2015;6:00 PM;-;25.06;28.48;-;-;-;-;28.48;52.88;65;25.5;70.07;-;-
Jan 2, 2015;7:00 PM;-;18.34;28.38;-;-;-;-;28.38;52.96;57;23;60.05;-;-
Jan 2, 2015;8:00 PM;-;14.26;15;-;-;-;-;27.85;49.91;54;17.2;60.01;-;-
Jan 2, 2015;9:00 PM;-;12.22;12.22;-;-;-;-;27.45;48.93;51;14;53.51;-;-
Jan 2, 2015;10:00 PM;-;8;10.4;-;-;-;-;27.2;50;51.75;11.65;45.08;-;-
Jan 2, 2015;11:00 PM;-;-0.33;-0.33;-;-;-;-;25.94;49.86;51.6;5;45.02;-;-
Jan 3, 2015;12:00 AM;-;-0.08;-0.08;-;-;-;-;17.57;39.48;37;0.59;2.75;-;-
Jan 3, 2015;1:00 AM;-;-0.07;-0.07;-;-;-;-;16.87;37.01;31.77;-0.7;2.19;-;-
Jan 3, 2015;2:00 AM;-;-5.03;-5.03;-;-;-;-;5.75;35.61;24.09;-2;1.12;-;-
Jan 3, 2015;3:00 AM;-;0.01;0.01;-;-;-;-;5.09;29.28;21.74;-1.06;1.56;-;-
Jan 3, 2015;4:00 AM;-;-0.04;-0.04;-;-;-;-;7.64;26.24;21.9;0.25;2.23;-;-
Jan 3, 2015;5:00 AM;-;0.03;0.03;-;-;-;-;23.85;25.82;35;0.99;18.07;-;-
Jan 3, 2015;6:00 AM;-;-8.67;-8.67;-;-;-;-;22.92;26.75;36;5.26;44.62;-;-
Jan 3, 2015;7:00 AM;-;4.46;4.46;-;-;-;-;26.75;30.84;45;11.84;45.1;-;-
Jan 3, 2015;8:00 AM;-;9.9;9.9;-;-;-;-;26.98;35.78;59.61;15.3;51.09;-;-
Jan 3, 2015;9:00 AM;-;14.29;14.29;-;-;-;-;27.52;37.2;46;19.05;55.33;-;-
Jan 3, 2015;10:00 AM;-;16.73;16.73;-;-;-;-;27.72;36.44;47.6;22.37;55.02;-;-
Jan 3, 2015;11:00 AM;-;22.31;22.31;-;-;-;-;27.73;36.74;52.89;23.59;60;-;-
Jan 3, 2015;12:00 PM;-;23.03;23.03;-;-;-;-;27.66;37.07;50.99;24.22;56.07;-;-
Jan 3, 2015;1:00 PM;-;22.4;22.4;-;-;-;-;27.65;37;49.4;24;51.97;-;-
Jan 3, 2015;2:00 PM;-;27.07;27.81;-;-;-;-;27.81;33.76;48.1;26.94;50.42;-;-
Jan 3, 2015;3:00 PM;-;28.29;28.37;-;-;-;-;28.37;31.07;50;29.4;51.09;-;-
Jan 3, 2015;4:00 PM;-;28.6;29.23;-;-;-;-;29.23;31.48;58.91;31.96;60.48;-;-
Jan 3, 2015;5:00 PM;-;28.88;29.53;-;-;-;-;29.53;40.09;63.2;38.22;64.72;-;-
Jan 3, 2015;6:00 PM;-;28.78;29.75;-;-;-;-;29.75;46.36;55.86;40;55.33;-;-
Jan 3, 2015;7:00 PM;-;28.54;29.46;-;-;-;-;29.46;48.95;50.24;36.4;51.22;-;-
Jan 3, 2015;8:00 PM;-;28.34;28.69;-;-;-;-;28.69;48.04;47.54;29.7;48.54;-;-
Jan 3, 2015;9:00 PM;-;27.26;27.93;-;-;-;-;27.93;46;42.14;25.3;40.16;-;-
Jan 3, 2015;10:00 PM;-;27.7;27.7;-;-;-;-;27.7;43.66;41.4;20.29;34.49;-;-
Jan 3, 2015;11:00 PM;-;14.27;14.27;-;-;-;-;27.25;37.48;39.1;12.54;16.06;-;-
Jan 4, 2015;12:00 AM;-;9.32;9.32;-;-;-;20.42;27.55;36.41;24.54;5;24.1;-;-
Jan 4, 2015;1:00 AM;-;0.1;0.1;-;-;-;17.18;27.38;31.46;16.52;3;18.06;-;-
Jan 4, 2015;2:00 AM;-;0.1;0.1;-;-;-;-;27.17;24.97;14.02;2;2.75;-;-
Jan 4, 2015;3:00 AM;-;0.1;0.1;-;-;-;-;27.03;14.42;13.06;0;2.23;-;-
Jan 4, 2015;4:00 AM;-;0.11;0.11;-;-;-;-;27.04;11.03;12.96;0.01;1.01;-;-
Jan 4, 2015;5:00 AM;-;6.8;6.8;-;-;-;-;27.19;13.77;17.87;-1.45;2.75;-;-
Jan 4, 2015;6:00 AM;-;14.95;14.95;-;-;-;-;27.13;16.44;23.43;-2;13.16;-;-
Jan 4, 2015;7:00 AM;-;25.49;25.49;-;-;-;-;27.06;17.79;36.9;0.82;38.95;-;-
Jan 4, 2015;8:00 AM;-;26.28;27.63;-;-;-;-;27.63;18.86;41.25;6.5;49.08;-;-
Jan 4, 2015;9:00 AM;-;27.32;28.03;-;-;-;-;28.03;28.83;45.01;12;55.33;-;-
Jan 4, 2015;10:00 AM;-;27.56;28.24;-;-;-;-;28.24;33.02;45.01;14.5;59.26;-;-
Jan 4, 2015;11:00 AM;-;27.32;28.32;-;-;-;28.32;28.32;35.64;47;18.44;59.79;-;-
Jan 4, 2015;12:00 PM;-;27.08;28.24;-;-;-;28.24;28.24;37.3;45.66;17.36;55.33;-;-
Jan 4, 2015;1:00 PM;-;26.33;28.27;-;-;-;28.27;28.27;35.41;40.14;14.76;48.86;-;-
Jan 4, 2015;2:00 PM;-;27.42;28.32;-;-;-;28.32;28.32;30.34;39.1;14.7;45.96;-;-
Jan 4, 2015;3:00 PM;-;28.37;28.7;-;-;-;28.7;28.7;26.52;43;16;53.1;-;-
Jan 4, 2015;4:00 PM;-;28.65;29.58;-;-;-;31.48;29.58;26.51;47.5;19;60.24;-;-
Jan 4, 2015;5:00 PM;-;28.94;29.92;-;-;-;33.96;29.92;42.98;58.66;26.32;60.46;-;-
Jan 4, 2015;6:00 PM;-;29.59;29.91;-;-;-;35.68;29.91;49.85;54.48;29.62;59.79;-;-
Jan 4, 2015;7:00 PM;-;29.42;29.77;-;-;-;35.53;29.77;48.61;55.68;29;60.06;-;-
Jan 4, 2015;8:00 PM;-;28.92;29.45;-;-;-;32.55;29.45;48.14;55.29;24;59.79;-;-
Jan 4, 2015;9:00 PM;-;28.66;29.06;-;-;-;29.06;29.06;43.99;50;21.5;52.96;-;-
Jan 4, 2015;10:00 PM;-;29.03;29.03;-;-;-;29.03;29.03;46.03;45.01;21.8;41.94;-;-
Jan 4, 2015;11:00 PM;-;27.68;27.68;-;-;-;22.9;28.02;43.04;45.01;15;43.57;-;-
Jan 5, 2015;12:00 AM;-;28.19;29.06;-;47.72;-;18.48;29.06;37.8;21.46;19.22;19.22;-;-
Jan 5, 2015;1:00 AM;-;28.15;28.88;-;39.1;-;17.43;28.88;34.09;20.1;18;18;-;-
Jan 5, 2015;2:00 AM;-;28.13;28.87;-;35.21;-;17.38;28.87;31.89;18.8;16.2;16.2;-;-
Jan 5, 2015;3:00 AM;-;28.05;28.05;-;32.43;-;17.4;28.97;28.5;17.3;15.41;15.41;-;-
Jan 5, 2015;4:00 AM;-;28.04;29.34;-;33.15;-;18.6;29.34;27.23;17.26;16.33;16.33;-;-
Jan 5, 2015;5:00 AM;-;27.01;30.33;-;38.85;-;19.3;30.33;32.26;21.7;21.11;21.11;-;-
Jan 5, 2015;6:00 AM;-;27.6;31.39;-;48.89;-;-;31.39;43.72;31.7;29.25;47.77;-;-
Jan 5, 2015;7:00 AM;-;33.62;32.84;-;60.03;-;-;32.84;49.94;43.32;38.48;59.79;-;-
Jan 5, 2015;8:00 AM;-;38.15;38.15;-;63.98;-;38.15;38.15;51.98;49;41.83;59.79;-;-
Jan 5, 2015;9:00 AM;-;41.51;41.51;-;64.5;-;-;41.51;53;49.28;44.9;59.79;-;-
Jan 5, 2015;10:00 AM;-;40.46;40.46;-;55.49;-;-;40.46;52.71;49.2;44.32;59.79;-;-
Jan 5, 2015;11:00 AM;-;40.97;40.97;-;53.5;-;-;40.97;52.35;50;45;57.56;-;-
Jan 5, 2015;12:00 PM;-;40.72;40.72;-;51;-;40.72;40.72;52.02;50.47;45.07;55.55;-;-
Jan 5, 2015;1:00 PM;-;41.92;41.92;-;50.39;-;41.92;41.92;50.4;50;46.62;53.1;-;-
Jan 5, 2015;2:00 PM;-;42;42;-;54.45;-;42;42;50.55;49.57;48.3;51.09;-;-
Jan 5, 2015;3:00 PM;-;43.1;43.1;-;64;-;-;43.1;49.46;49.95;48.8;51.09;-;-
Jan 5, 2015;4:00 PM;-;46.7;46.7;-;64.25;-;46.7;46.7;50.79;55.95;49.23;56.66;-;-
Jan 5, 2015;5:00 PM;-;56.78;56.78;-;68.64;-;56.78;56.78;58.08;65.97;57;60.46;-;-
Jan 5, 2015;6:00 PM;-;58.84;58.84;-;67;-;58.84;58.84;64.63;67;60.01;61.36;-;-
Jan 5, 2015;7:00 PM;-;49.23;49.23;-;61.5;-;49.23;49.23;61.17;61.5;55.68;60.02;-;-
Jan 5, 2015;8:00 PM;-;44.32;44.32;-;55.95;-;44.32;44.32;54.19;55.95;51;54.66;-;-
Jan 5, 2015;9:00 PM;-;35.86;35.86;-;50.26;-;35.86;35.86;51.16;49.5;44.14;44.14;-;-
Jan 5, 2015;10:00 PM;-;32.56;32.56;-;50.53;-;32.56;32.56;50.64;43.61;37.37;41.13;-;-
Jan 5, 2015;11:00 PM;-;30.03;30.03;-;51;-;30.03;30.03;48.78;36.08;31.9;32.85;-;-
